step,T,Epot,Efull,SolventMolsThroughZ,SolventMolsThroughKlap,Klapan_Z,Solvent_Z,G,v_theor,v_pract
0,0.00386389,-8100.42,-8100.41,0,0,-0.183082,0.456256,0,0,0
5e-015,2.67483,-8115.57,-8110.43,0,0,-0.183143,0.456254,0,0,0
1e-014,9.09857,-8146.01,-8128.53,0,0,-0.183248,0.456246,0,0,0
1.5e-014,6.53965,-8169,-8156.44,0,0,-0.18329,0.456233,0,0,0
2e-014,8.95238,-8188.9,-8171.71,0,0,-0.183314,0.456217,0,0,0
2.5e-014,12.6371,-8205.15,-8180.88,0,0,-0.183406,0.456197,0,0,0
3e-014,15.7871,-8221.8,-8191.48,0,0,-0.183552,0.456174,0,0,0
3.5e-014,18.0839,-8241.15,-8206.42,0,0,-0.183703,0.456149,0,0,0
4e-014,18.8166,-8257.21,-8221.07,0,0,-0.183898,0.456123,0,0,0
4.5e-014,18.9173,-8272.29,-8235.95,0,0,-0.18419,0.456095,0,0,0
5e-014,17.8856,-8285.05,-8250.7,0,0,-0.184487,0.456067,0,0,0
5.5e-014,36.1933,-8297.94,-8228.42,0,0,-0.184652,0.456032,0,0,0
6e-014,47.5849,-8308.77,-8217.37,0,0,-0.184649,0.455985,0,0,0
6.5e-014,53.7816,-8316.38,-8213.08,0,0,-0.184723,0.45593,0,0,0
7e-014,55.9379,-8319.91,-8212.47,0,0,-0.185151,0.455869,0,0,0
7.5e-014,55.5065,-8318.92,-8212.31,0,0,-0.185781,0.455801,0,0,0
8e-014,54.1582,-8316.24,-8212.22,0,0,-0.186231,0.455727,0,0,0
8.5e-014,52.3462,-8312.24,-8211.7,0,0,-0.18648,0.455648,0,0,0
9e-014,53.1367,-8312.54,-8210.48,0,0,-0.18685,0.455562,0,0,0
9.5e-014,56.5333,-8319.17,-8210.59,0,0,-0.187414,0.45547,0,0,0
1e-013,59.7624,-8328.36,-8213.58,0,0,-0.187897,0.455373,0,0,0
1.05e-013,82.6661,-8342.34,-8183.57,0,0,-0.188245,0.455264,0,0,0
1.1e-013,99.5018,-8361.14,-8170.03,0,0,-0.188728,0.455141,0,0,0
1.15e-013,108.648,-8373.84,-8165.17,0,0,-0.189419,0.455007,0,0,0
1.2e-013,114.926,-8385.42,-8164.69,0,0,-0.190094,0.454865,0,0,0
1.25e-013,116.029,-8387.74,-8164.89,0,0,-0.190665,0.454715,0,0,0
1.3e-013,115.654,-8385.74,-8163.61,0,0,-0.191208,0.454556,0,0,0
1.35e-013,113.358,-8379.1,-8161.37,0,0,-0.191617,0.454388,0,0,0
1.4e-013,111.663,-8371.36,-8156.89,0,0,-0.191788,0.454208,0,0,0
1.45e-013,110.123,-8362.97,-8151.46,0,0,-0.192002,0.454017,0,0,0
1.5e-013,110.22,-8356.84,-8145.14,0,0,-0.192528,0.453812,0,0,0
1.55e-013,128.996,-8350.96,-8103.2,0,0,-0.193057,0.453584,0,0,0
1.6e-013,143.447,-8348.98,-8073.47,0,0,-0.193089,0.453326,0,0,0
1.65e-013,154.525,-8349.99,-8053.2,0,0,-0.192759,0.453043,0,0,0
1.7e-013,162.846,-8350.97,-8038.2,0,0,-0.192643,0.45274,0,0,0
1.75e-013,167.82,-8350.5,-8028.18,0,0,-0.192837,0.45242,0,0,0
1.8e-013,170.293,-8347.87,-8020.79,0,0,-0.192935,0.452085,0,0,0
1.85e-013,171,-8343.04,-8014.61,0,0,-0.192795,0.451736,0,0,0
1.9e-013,169,-8332.98,-8008.39,0,0,-0.192679,0.451374,0,0,0
1.95e-013,165.827,-8318.67,-8000.17,0,0,-0.192721,0.450999,0,0,0
2e-013,164.733,-8306.18,-7989.78,0,0,-0.192732,0.45061,0,0,0
2.05e-013,181.578,-8290.21,-7941.46,0,0,-0.192582,0.450195,0,0,0
2.1e-013,195.077,-8279.11,-7904.43,0,0,-0.192438,0.449745,0,0,0
2.15e-013,206.792,-8273.12,-7875.95,0,0,-0.192489,0.449263,0,0,0
2.2e-013,218.26,-8274.92,-7855.71,0,0,-0.192653,0.448751,0,0,0
2.25e-013,227.773,-8280.37,-7842.9,0,0,-0.192786,0.44821,0,0,0
2.3e-013,233.604,-8284.86,-7836.19,0,0,-0.192962,0.447636,0,0,0
2.35e-013,235.151,-8284.48,-7832.84,0,0,-0.193225,0.44702,0,0,0
2.4e-013,232.436,-8275.47,-7829.04,0,0,-0.193337,0.446348,0,0,0
2.45e-013,228.467,-8261.23,-7822.42,0,0,-0.193164,0.4456,0,0,0
2.5e-013,223.445,-8242.13,-7812.97,0,0,-0.193048,0.444759,0,0,0
2.55e-013,217.923,-8224.24,-7805.68,0,0,-0.193296,0.443816,0,0,0
2.6e-013,214.661,-8210.03,-7797.74,0,0,-0.193594,0.442774,0,0,0
2.65e-013,215.055,-8202.72,-7789.68,0,0,-0.193506,0.441639,0,0,0
2.7e-013,218.13,-8200.94,-7781.99,0,0,-0.193172,0.440425,0,0,0
2.75e-013,223.986,-8204.47,-7774.27,0,0,-0.192933,0.439151,0,0,0
2.8e-013,231.385,-8211.84,-7767.43,0,0,-0.192647,0.437833,0,0,0
2.85e-013,238.36,-8219.57,-7761.76,0,0,-0.192003,0.436483,0,0,0
2.9e-013,244.003,-8224.93,-7756.29,0,0,-0.191079,0.435112,0,0,0
2.95e-013,246.009,-8224.75,-7752.26,0,0,-0.190063,0.433725,0,0,0
3e-013,244.04,-8218.72,-7750,0,0,-0.188867,0.432328,0,0,0
3.05e-013,238.712,-8208.31,-7749.82,0,0,-0.187377,0.430922,0,0,0
3.1e-013,232.842,-8195.57,-7748.36,0,0,-0.185636,0.429508,0,0,0
3.15e-013,229.28,-8185.18,-7744.82,0,0,-0.183629,0.428083,0,0,0
3.2e-013,227.844,-8178.81,-7741.21,0,0,-0.181377,0.426649,0,0,0
3.25e-013,231.66,-8182.09,-7737.15,0,0,-0.179203,0.425206,0,0,0
