step,T,Epot,Efull,SolventMolsThroughZ,SolventMolsThroughKlap,Z_Klap,G,v
0,0.00313161,-8153.4,-8153.39,-1,0,-0.106673,0,-0.104294
5e-015,2.41696,-8168.85,-8164.09,-1,0,-0.106678,0.0455237,-0.104294
1e-014,9.52007,-8207.48,-8188.72,-1,0,-0.106684,0.0910472,-0.104294
1.5e-014,6.16817,-8222.96,-8210.81,-1,0,-0.106681,0.136571,-0.104293
2e-014,10.3575,-8242.2,-8221.79,-1,0,-0.106674,0.182094,-0.104292
2.5e-014,11.0367,-8257.63,-8235.89,-1,0,-0.106678,0.227616,-0.104291
3e-014,12.9211,-8271.36,-8245.89,-1,0,-0.106718,0.273139,-0.10429
3.5e-014,13.2258,-8282.02,-8255.96,-1,0,-0.106839,0.31866,-0.104289
4e-014,12.5336,-8291.14,-8266.45,-1,0,-0.107095,0.364181,-0.104287
4.5e-014,12.962,-8304.37,-8278.83,-1,0,-0.107479,0.409701,-0.104285
5e-014,11.1453,-8309.78,-8287.81,-1,0,-0.107821,0.45522,-0.104283
5.5e-014,11.9705,-8316.34,-8292.75,-1,0,-0.107884,0.500739,-0.10428
6e-014,11.6172,-8319.7,-8296.81,-1,0,-0.107658,0.546256,-0.104278
6.5e-014,12.2901,-8325.97,-8301.75,-1,0,-0.107481,0.591772,-0.104275
7e-014,12.2828,-8332.33,-8308.12,-1,0,-0.107636,0.637286,-0.104272
7.5e-014,12.5424,-8340.07,-8315.35,-1,0,-0.107914,0.682799,-0.104268
8e-014,12.2422,-8346.45,-8322.33,-1,0,-0.107936,0.728311,-0.104265
8.5e-014,11.6426,-8352.1,-8329.16,-1,0,-0.107753,0.773821,-0.104261
9e-014,11.2646,-8357.82,-8335.62,-1,0,-0.107681,0.81933,-0.104257
9.5e-014,10.965,-8363.18,-8341.58,-1,0,-0.107697,0.864836,-0.104253
1e-013,10.3092,-8367.97,-8347.65,-1,0,-0.107556,0.910341,-0.104249
1.05e-013,10.999,-8372.48,-8350.8,-1,0,-0.107373,0.955844,-0.104244
1.1e-013,11.8499,-8377.95,-8354.6,-1,0,-0.107509,1.00134,-0.104239
